,pride,wrath,sloth,envy,lust,gluttony,greed
Central Coast,8,57,38,35,92,33,20
Sydney-Baulkham,21,200,151,117,324,45,67
Sydney-Blacktown,2,18,11,5,24,5,10
Sydney-City and Inner South,106,1280,1131,751,1833,720,584
Sydney-Eastern Suburbs,24,210,280,118,350,142,78
Sydney-Inner South West,18,178,80,83,237,32,37
Sydney-Inner West,15,187,111,172,210,73,63
Sydney-Northern Beaches,21,235,200,95,309,73,134
Sydney-North Sydney and Hornsby,12,114,108,57,202,44,42
Sydney-Outer South West,1,38,17,19,33,7,6
Sydney-Outer West and Blue Mountains,1,51,23,16,26,28,21
Sydney-Parrametta,13,147,117,50,100,53,23
Sydney-Ryde,0,0,0,0,0,0,0
Outside,154,1661,1421,1650,2061,760,666